,CÓDIGO,REGIÃO,SEXO,PAGAMENTO,TOTAL (R$)
0,5151,SULDESTE,MASCULINO,DÉBITO,6872.16
1,6604,SUL,FEMININO,CRÉDITO,5219.01
2,6539,SULDESTE,MASCULINO,DÉBITO,9945.68
3,6922,SULDESTE,FEMININO,CRÉDITO,9993.06
4,4546,SULDESTE,MASCULINO,CRÉDITO,5536.25
5,6216,SULDESTE,MASCULINO,CRÉDITO,3377.37
6,8519,SULDESTE,MASCULINO,CRÉDITO,9455.4
7,1824,SULDESTE,MASCULINO,CRÉDITO,1213.34
8,8486,SUL,MASCULINO,CRÉDITO,5074.81
9,9208,SULDESTE,MASCULINO,DÉBITO,6709.42
10,4242,SUL,MASCULINO,DÉBITO,6338.62
11,4901,SULDESTE,MASCULINO,CRÉDITO,5784.4800000000005
12,5432,SULDESTE,FEMININO,CRÉDITO,4944.0
13,4315,SULDESTE,FEMININO,CRÉDITO,3615.3
14,6502,SUL,MASCULINO,CRÉDITO,4832.76
15,2828,SULDESTE,MASCULINO,CRÉDITO,9617.11
16,4712,SUL,FEMININO,CRÉDITO,5093.35
17,3626,SUL,MASCULINO,CRÉDITO,7757.96
18,3255,SUL,FEMININO,CRÉDITO,3502.0
19,7426,SULDESTE,FEMININO,CRÉDITO,2417.41
20,6223,SULDESTE,MASCULINO,CRÉDITO,6769.16
21,1350,SUL,MASCULINO,CRÉDITO,2244.37
22,6552,SULDESTE,FEMININO,CRÉDITO,2808.81
23,3077,SUL,MASCULINO,DÉBITO,1400.8
24,3358,SULDESTE,MASCULINO,CRÉDITO,1796.32
25,3482,SUL,MASCULINO,CRÉDITO,1645.94
26,9133,SULDESTE,MASCULINO,CRÉDITO,9674.79
27,2068,SULDESTE,FEMININO,CRÉDITO,3145.62
28,5537,SULDESTE,FEMININO,CRÉDITO,4165.32
29,2627,SULDESTE,MASCULINO,CRÉDITO,8912.59
30,4697,SULDESTE,MASCULINO,DÉBITO,3068.37
31,5088,SULDESTE,MASCULINO,CRÉDITO,8499.56
32,6466,SULDESTE,MASCULINO,CRÉDITO,320.33
33,5894,SULDESTE,MASCULINO,CRÉDITO,1770.57
34,8261,SULDESTE,MASCULINO,CRÉDITO,8142.150000000001
35,8505,CENTRO-OESTE,MASCULINO,CRÉDITO,9507.93
36,8263,SULDESTE,MASCULINO,DÉBITO,4235.36
37,2307,SULDESTE,MASCULINO,CRÉDITO,8736.460000000001
38,1046,SUL,MASCULINO,CRÉDITO,2909.75
39,5794,SULDESTE,MASCULINO,CRÉDITO,2063.09
40,8331,SULDESTE,MASCULINO,CRÉDITO,1925.07
41,6903,SULDESTE,MASCULINO,CRÉDITO,2769.67
42,4067,SULDESTE,FEMININO,DÉBITO,4690.62
43,8873,SULDESTE,MASCULINO,CRÉDITO,1942.5800000000002
44,6235,SULDESTE,MASCULINO,CRÉDITO,6706.33
45,6006,SULDESTE,FEMININO,CRÉDITO,6961.77
46,5423,SULDESTE,MASCULINO,CRÉDITO,9165.97
47,1408,SULDESTE,MASCULINO,CRÉDITO,4804.95
48,2462,SUL,MASCULINO,CRÉDITO,3602.94
49,6709,SULDESTE,FEMININO,CRÉDITO,753.96
50,6412,SULDESTE,FEMININO,CRÉDITO,7882.59
51,6773,SULDESTE,FEMININO,CRÉDITO,8912.59
52,3831,SULDESTE,FEMININO,CRÉDITO,4914.13
